DS1-E-0001	Do people in the East Coast dislike oysters?
DS1-E-0002	I heard the number of science students are decreasing and the number of humanities students have been increasing recently. Are there any public available data indicating this trend?
DS1-E-0003	Does anyone know the total length of the road 10-50 years ago?
DS1-E-0004	I am looking for evidences of domestic self-sufficiency rate of salt.
DS1-E-0005	Are there any differences in the number of births in different months?
DS1-E-0006	How much does it cost to raise a beef cattle as a livestock and process it into meat?
DS1-E-0007	Are there many people who can't drive large trailers?
DS1-E-0008	How many dispached workers are there in the United States?
DS1-E-0009	How many people have a second house?
DS1-E-0010	Could you let me know the web site that shows the PC ownership rate by country?
DS1-E-0011	What is the percentage of male nursery staffs?
DS1-E-0012	What is an appropriate monthly food cost for a family of three?
DS1-E-0013	Which generation is the most populous in the United States?
DS1-E-0014	Which city has a population of about 300,000?
DS1-E-0015	What is the total CO2 emission in the United States?
DS1-E-0016	May I know a website that shows the trend of the number of police officer after 1945
DS1-E-0017	Which state has the largest area of fields and rice fields in the United States?
DS1-E-0018	What is the share of agriculture, industry, and services in US GDP?
DS1-E-0019	Do you know the number of employees by ocupation type?
DS1-E-0020	Could you let me know about the avarage preciputation data in 2005, and where can I find it?
DS1-E-0021	Please you let me know the average price of utility expenses.
DS1-E-0022	Could you share the statistics about food expenses by age and income for a single person in Washington D.C.?
DS1-E-0023	Which is more in the United States, Spanish or Portugues speakers?
DS1-E-0024	How many houses are demolished a day in the United States?
DS1-E-0025	Please let me know the sales of agriculture by region.
DS1-E-0026	Are there charts or tables that show the changes of grain production volume in the United States?
DS1-E-0027	Are there any data that show the price change of vegetables?
DS1-E-0028	Which state provides the most jobs in the Unite States?
DS1-E-0029	How many municipalities do not currently have libraries?
DS1-E-0030	How much does an American spend per year?
DS1-E-0031	What is the average salary for 32-year-old women?
DS1-E-0032	What is the number of greenhouses by region in the United States?
DS1-E-0033	How many restaurants are there in NY?
DS1-E-0034	How many hotels are there in the United States?
DS1-E-0035	What is the average centimeter lengthened by 15-18 year old (high school students) boys?
DS1-E-0036	How many Americans have been in prison ever?
DS1-E-0037	How large is the salary difference between regular nurses and associate nurses?
DS1-E-0038	How much is the price of farmland per acre?
DS1-E-0039	How many rivers, swamps, ponds, wetlands and lakes are in the United States?
DS1-E-0040	Could you let me know about the number of visitors to art museums, museums and aquariums, and the growth rate of these industries in recent years?
DS1-E-0041	Isn't the price of ice creams among sweets rising sharply?
DS1-E-0042	How many people are working in banks?
DS1-E-0043	What percentage of people in the United States have poor eyesight?
DS1-E-0044	Is there a web site showing the population distribution of depression patients?
DS1-E-0045	Regarding the latest gender birth rate in the United States, I thought that there were more boys, but are there more girls these days?
DS1-E-0046	Please let me know if there is a page about the world urban population ranking.
DS1-E-0047	The yield amount of tomatos per are was 0.2 tons. Is this large?
DS1-E-0048	What is average savings amount?
DS1-E-0049	How many people are born and how many people die per second in the United States?
DS1-E-0050	Does anyone know how many ammusument parks there are in the United States?
DS1-E-0051	How often do you think people renew their mobile phones?
DS1-E-0052	Coud you let me know if you know the website which has consumption statistics of each citrus type?
DS1-E-0053	How many Japanese are living in the United States?
DS1-E-0054	How many vacant houses are there in the United States?
DS1-E-0055	How many factories are there in the United States?
DS1-E-0056	Is there a graph showing the starting salary of college graduates from 1965 - 1974 to the present?
DS1-E-0057	I want to see the price levels in the past.
DS1-E-0058	Is a university with 4000 college students considered small? What is the average number of students per university in the states?
DS1-E-0059	I am looking for a pie chart representing the imports and exports of British and American trade.
DS1-E-0060	Which area is the largest producer of potatos?
DS1-E-0061	What was the traffic offense with the highest number of arrests in 2010?
DS1-E-0062	Are there any materials that show the changes in price of movie tickets?
DS1-E-0063	I'm looking for the house rent statistics in New York and wondering how different it is from those 10 years ago, 20 years ago, and 30 years ago?
DS1-E-0064	Is there a web site that shows the number and percentage of singles by state?
DS1-E-0065	How many people with a driver's license in the United States are out of the total population?
DS1-E-0066	Is the U.S. rural population declining?
DS1-E-0067	Please let me know the changes of university research budgets?
DS1-E-0068	Is the number of unmarried people or late marriages increasing in the United States today?
DS1-E-0069	Do you have statistics that show the average commuting time of people living at each state?
DS1-E-0070	Is that true that one out of ten Americans is working in architecture?
DS1-E-0071	Around a million of people belong to the US army today. Is there a period with more members?
DS1-E-0072	Please let me know the percentage of recent imports and exports by category in the United States.
DS1-E-0073	Which is more people living in their own houses or rent houses?
DS1-E-0074	Are medical expenses going up year by year, right? Please let me know if there is data that indicate medical expenses are rising from 2017 to 2018.
DS1-E-0075	Are there any statistics of the average income of each state by year?
DS1-E-0076	I am looking for the recent information and charts on the total number of teachers (elementary, junior high and high school) and its trend in United States.
DS1-E-0077	Is there any documents that show what kind of products or services are preferred by each age backet?
DS1-E-0078	What is the percentage of college graduates in the United States?
DS1-E-0079	What is the current food self-sufficiency rate in the United States?
DS1-E-0080	I would like to go to an area with snow. Is Alaska the only place covered by snow in mid-April?
DS1-E-0081	How many rivers are prone to flooding in the United States?
DS1-E-0082	Please let me know if there are any web sites that shows the area and population of all municipalities?
DS1-E-0083	What is the current TV penetration rate in the United States?
DS1-E-0084	I am studying the changes of the TV penetration rate and reading time. Are there any relevant statistics?
DS1-E-0085	What kind of fish is the most largest catch in the United States?
DS1-E-0086	I am looking for the past and latest statistical data on apples and cherries.
DS1-E-0087	I would like to know the ranking of the number of cattles by state?
DS1-E-0088	Is the most common business in the United States the restaurant business?
DS1-E-0089	What is the approximate number of traffic accidents per year?
DS1-E-0090	Are there any data on power demand of each state in the United States?
DS1-E-0091	What is the rate of enrollment of public univerisities and private universities?
DS1-E-0092	Where can I see documents that describe the changes in dietary contents?
DS1-E-0093	I am looking for data on the percentage of each religion.
DS1-E-0094	Do more students start their own businesses?
DS1-E-0095	What is the difference of crime rates between highly educated and low educated people?
DS1-E-0096	What is the average commuting time for office workers in metropolitan areas?
DS1-E-1001	Do 60% of Americans major in humanities?
DS1-E-1002	How many people are commuting from New Jersey to New York?
DS1-E-1003	Which states consume corns the most?
DS1-E-1004	How much is the average retirement allowance at regular companies?
DS1-E-1005	Is there a list of annual budgets of all municipalities in the United States?
DS1-E-1006	I would like to obtain data on the population under 20 in the United States.
DS1-E-1007	I would like to know the percentage of wooden houses in each state.
DS1-E-1008	How often do you buy a new computer?
DS1-E-1009	Please tell me the number of elderly people and the aging rate by municipality of the United States.
DS1-E-1010	Please provide information on mining and manufacturing industries in each state.
DS1-E-1011	Please let me know the prosecution rate for robbery in 2013?
DS1-E-1012	I am studying the amount of garbage over the past few years in the United States.
DS1-E-1013	What is the average sleep time for 23-year-old people?
DS1-E-1014	I am finding the monthly consumption of each type of squid.
DS1-E-1015	On marriage rates for people in their 30s and 80s, are there more married people than single people?
DS1-E-1016	What percentage of Americans are married?
DS1-E-1017	Please let me know the percentage of hills, mountains, plateaus, flatlands and inland waters in Alaska.
DS1-E-1018	What is the estimated number of people born between 1868 and 1912 and still living now ?
DS1-E-1019	I would like to know the ranking of the area of each municipality in Alaska?
DS1-E-1020	Which states have the most crimes and the least crimes in the United States?
DS1-E-1021	How many foreigners are there in the United States today?
DS1-E-1022	In which state compact cars are sold the most?
DS1-E-1023	Are many of science students going to graduate school?
DS1-E-1024	What is the average retirement savings for Americans in 2014?
DS1-E-1025	Currently, how many people not in employment or education, anti-socials, and unemployed people are there in the United States, respectively?
DS1-E-1026	How many times wedding ceremonies are held a day on average in the United States?
DS1-E-1027	What percentage of students go to cram schools in the United States when they are in elementary school, junior high school and high school, respectively?
DS1-E-1028	What is the current 20-year-old population in the United States?
DS1-E-1029	I would like to know the gross production of the primary, secondary, and tertiary industries.
DS1-E-1030	I am looking for data proving young people's lack of interest in farming.
DS1-E-1031	What percentage of woman die before their husbands die in the United States?
DS1-E-1032	What percentage of U.S. companies have 1 billion dollar sales?
DS1-E-1033	Please let me know if you know the daytime population and the nighttime population in Detroit.
DS1-E-1034	What is the population of children under 18 in New York and Los Angeles in 2007?
DS1-E-1035	How much protein do Americans take per day?
DS1-E-1036	I am looking for data on ownership rate of smartphones for the last 5 years.
DS1-E-1037	May I know the average performances of push-ups, sit-ups and a seated forward bend pose for adults and elementary students?
DS1-E-1038	Are there any statistics on the increasing amount of food loss?
DS1-E-1039	How many people are working in the United States?
DS1-E-1040	I am looking for private fixed capital stock of all industries in the US from 1970 to 1990 .
DS1-E-1041	Is the grand piano ownership ratio is about one in 100 households?
DS1-E-1042	What percentage of the first grade students of elementary schools have experience day care centers?
DS1-E-1043	I'm looking for data statistics on ownership rate of cars.
DS1-E-1044	How many unemployed people are there in the United States?
DS1-E-1045	Which state has the largest and lowest proportion of the plains?
DS1-E-1046	Is it true that medical expenses for eldaly account for a large percentage of total medical expenses?
DS1-E-1047	How much per liter of gasoline was during the oil shock in 1973 and Gulf War?
DS1-E-1048	How many children die per year in the United States?
DS1-E-1049	What is the average daily amount of household garbage per person?
DS1-E-1050	What is the rate of enrollment in four-year colleges in New York and the United States, respectively?
DS1-E-1051	Is music appreciation the most common hobby?
DS1-E-1052	What is the effective rate of job offers by state of the United States?
DS1-E-1053	What is the avarage value of total assets per person?
DS1-E-1054	How many US companies and employees are there?
DS1-E-1055	How many companies exist in the United States today?
DS1-E-1056	Which website contains the detailed US catch statistics?
DS1-E-1057	In which year were the most children born?
DS1-E-1058	Which age group of people goes to correspondence course high schools?
DS1-E-1059	What is the most common cause of death?
DS1-E-1060	Is Arisona the state where the most people work outside the state in the United States?
DS1-E-1061	Could you let me know how to find the number of existing condominiums by state?
DS1-E-1062	How many students grew up abroad in the United States?
DS1-E-1063	Please let me know the state that achieved the highest rice production amount among Washington, California, Oregon, and Nevada, in 2007.
DS1-E-1064	What is the crime-arrest rate for embezzlement of lost properties?
DS1-E-1065	How many underage people are there in the United States?
DS1-E-1066	May I know the total floor space of convenience stores and department stores in the Midwest?
DS1-E-1067	Are there any published data on the mortality by cause of death in trauma patients?
DS1-E-1068	What is the university enrollment rate in the United States?
DS1-E-1069	Is there any evidence that the cost of bread becomes higher than the cost of rice?
DS1-E-1070	Which state is the largest producer of mashrooms?
DS1-E-1071	How many elementary and junior high school students are in the United States?
DS1-E-1072	Do you have statistical data of the economic situation such as economic collapses per municipality? 
DS1-E-1073	Is there a table for the cancer mortality rate in cities with populations of 100,000 or more?
DS1-E-1074	How many churches are there in the United States?
DS1-E-1075	Are there any state or local government statistics that show the income of dual-income households?
DS1-E-1076	Which year has the most movie theaters? How many theaters were there in the past?
DS1-E-1077	Which website contains the annual budget for 50 states in the United States?
DS1-E-1078	I'm looking for a graph or table of utilization ratio of buses and cars.
DS1-E-1079	In which organization are more people enrolled, HMOs or PPOs?
DS1-E-1080	Please let me know the food self-sufficiency rate of milk on a calorie basis in the United States.
DS1-E-1081	Is there a table showing the number of truant students per year from the 1950s to the present?
DS1-E-1082	What is the percentage of the male survival rate until 20 years old?
DS1-E-1083	How can I find out the population of players for each sport?
DS1-E-1084	What is the number of swimmers in the United States?
DS1-E-1085	Could you please let me know the number of police stations in the Unite States today?
